codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
11,baix llobregat,741282,21336,5249,22262,6176,19203,10455,825963,89.75,0.8974760370621928,2.58,0.02583166558308302,0.64,0.006355006216985507,2.7,0.026952781177849373,0.75,0.007477332519737567,2.32,0.023249225449566143,1.27,0.012657951990585534
12,baix penedes,89708,4164,1113,5788,774,2596,848,104991,85.44,0.8544351420597956,3.97,0.0396605423321999,1.06,0.010600908649312799,5.51,0.055128534826794674,0.74,0.007372060462325342,2.47,0.02472592888914288,0.81,0.008076882780428798
13,barcelones,1840756,106423,29691,41443,48499,101846,109779,2278437,80.79,0.8079029615477628,4.67,0.04670877448004926,1.3,0.013031301721311584,1.82,0.018189223577390994,2.13,0.02128608339839987,4.47,0.044699941231642566,4.82,0.04818171404344294
14,bergueda,36153,880,180,1245,236,553,199,39446,91.65,0.9165187851746691,2.23,0.022308979364194088,0.46,0.004563200324494246,3.16,0.031562135577751865,0.6,0.005982862647670233,1.4,0.014019165441362875,0.5,0.005044871469857526
15,cerdanya,15612,762,276,350,163,953,76,18192,85.82,0.8581794195250659,4.19,0.041886543535620054,1.52,0.015171503957783642,1.92,0.019239226033421285,0.9,0.008959982409850483,5.24,0.05238566402814424,0.42,0.004177660510114336
16,conca de barbera,17757,813,249,848,57,154,164,20042,88.6,0.885989422213352,4.06,0.040564813890829256,1.24,0.012423909789442172,4.23,0.04231114659215647,0.28,0.002844027542161461,0.77,0.007683863885839737,0.82,0.00818281608621894
17,garraf,129942,9702,1294,3509,1229,3757,1454,150887,86.12,0.861187511183866,6.43,0.06429977400306189,0.86,0.008575954190884569,2.33,0.023255813953488372,0.81,0.008145168238483103,2.49,0.024899428048804736,0.96,0.009636350381411255
18,garrigues,16401,1260,63,918,45,102,44,18833,87.09,0.8708649710614347,6.69,0.06690383900600011,0.33,0.0033451919503000053,4.87,0.048744225561514365,0.24,0.002389422821642861,0.54,0.005416025062390485,0.23,0.002336324536717464
19,garrotxa,48698,1806,615,2239,1016,687,2529,57590,84.56,0.8455981941309255,3.14,0.03135961104358396,1.07,0.010678937315506164,3.89,0.03887827747872895,1.76,0.017641951727730507,1.19,0.011929154367077617,4.39,0.0439138739364473
20,girones,154282,6997,1833,16276,7838,3759,2923,193908,79.56,0.7956453575922603,3.61,0.03608412236730821,0.95,0.009452936444086887,8.39,0.08393671225529632,4.04,0.040421230686717415,1.94,0.019385481774862306,1.51,0.015074158879468613
21,maresme,399480,11269,3415,21305,3106,8199,5916,452690,88.25,0.882458194349334,2.49,0.024893414919702223,0.75,0.0075437937661534385,4.71,0.04706311162163953,0.69,0.0068612074488060264,1.81,0.018111732090392983,1.31,0.013068545803971814
22,montsia,56239,5864,787,2477,240,974,855,67436,83.4,0.8339610890325642,8.7,0.08695652173913043,1.17,0.011670324455780295,3.67,0.03673112284239872,0.36,0.003558929948395516,1.44,0.014443324040571802,1.27,0.012678687941159025
23,noguera,32242,2779,263,2764,88,456,178,38770,83.16,0.8316223884446737,7.17,0.07167913335052876,0.68,0.006783595563580088,7.13,0.07129223626515346,0.23,0.0022697962342017024,1.18,0.011761671395408822,0.46,0.004591178746453444
24,osona,136233,3736,772,14054,759,2175,3092,160821,84.71,0.8471095192791986,2.32,0.02323079697303213,0.48,0.004800368111129765,8.74,0.08738908475883125,0.47,0.004719532896823176,1.35,0.013524353162833212,1.92,0.019226344818151858
25,pallars jussa,11423,581,94,534,102,303,43,13080,87.33,0.8733180428134557,4.44,0.044418960244648316,0.72,0.007186544342507645,4.08,0.0408256880733945,0.78,0.007798165137614679,2.32,0.0231651376146789,0.33,0.003287461773700306
26,pallars sobira,6256,432,17,83,32,95,17,6932,90.25,0.9024812463935372,6.23,0.06231967686093479,0.25,0.0024523946912867857,1.2,0.011973456433929603,0.46,0.004616272360069244,1.37,0.013704558568955569,0.25,0.0024523946912867857
27,pla d'urgell,29879,2794,244,3175,45,382,174,36693,81.43,0.8142970048783147,7.61,0.07614531382007467,0.66,0.00664976971084403,8.65,0.0865287657046303,0.12,0.0012263919548687761,1.04,0.010410705039108277,0.47,0.004742048892159267
28,pla de l'estany,27558,954,145,2389,478,455,314,32293,85.34,0.8533737961787384,2.95,0.029542006007493883,0.45,0.004490137181432509,7.4,0.07397888087201561,1.48,0.014801969467067166,1.41,0.014089740810702009,0.97,0.009723469482550397
29,priorat,8180,512,44,371,33,97,8,9245,88.48,0.8848025959978366,5.54,0.05538128718226068,0.48,0.004759329367225527,4.01,0.04012979989183342,0.36,0.0035694970254191456,1.05,0.01049215792320173,0.09,0.0008653326122228231
30,ribera d'ebre,18511,1613,171,1198,64,133,175,21865,84.66,0.846604161902584,7.38,0.07377086668191173,0.78,0.007820718042533729,5.48,0.0547907614909673,0.29,0.00292705236679625,0.61,0.0060827806997484565,0.8,0.008003658815458496
31,ripolles,22780,401,94,1003,286,371,152,25087,90.8,0.908040020727867,1.6,0.015984374377167456,0.37,0.003746960577191374,4.0,0.039980866584286685,1.14,0.011400326862518436,1.48,0.014788535895085103,0.61,0.006058914975883924
32,segarra,16840,2126,1414,2233,82,252,105,23052,73.05,0.730522297414541,9.22,0.09222627103938921,6.13,0.06133958007981954,9.69,0.09686795072011105,0.36,0.0035571750824223494,1.09,0.010931806350858927,0.46,0.0045549193128578865
33,segria,171311,12919,1566,17216,1020,3544,2242,209818,81.65,0.8164742777073464,6.16,0.0615724103747057,0.75,0.007463611320287106,8.21,0.08205206416989963,0.49,0.004861356032370912,1.69,0.01689082919482599,1.07,0.010685451200564298
34,selva,137811,10493,5253,8655,2002,3511,3892,171617,80.3,0.803014852840919,6.11,0.061141961460694456,3.06,0.030608855766037165,5.04,0.05043206675329367,1.17,0.011665510992500744,2.05,0.02045834620113392,2.27,0.022678405985421025
35,solsones,12038,626,60,554,34,115,42,13469,89.38,0.8937560323706288,4.65,0.04647709555275076,0.45,0.00445467369515183,4.11,0.041131487118568566,0.25,0.0025243150939193706,0.85,0.00853812458237434,0.31,0.003118271586606281
36,tarragones,212278,10249,3620,16442,1839,7602,4700,256730,82.69,0.8268531141666342,3.99,0.03992131811630896,1.41,0.014100416780274997,6.4,0.06404393721029876,0.72,0.007163167530089978,2.96,0.029610875238577493,1.83,0.018307170957815602
37,terra alta,10083,1055,33,67,66,48,138,11490,87.75,0.8775456919060052,9.18,0.0918189730200174,0.29,0.0028720626631853785,0.58,0.005831157528285466,0.57,0.005744125326370757,0.42,0.004177545691906005,1.2,0.012010443864229765
38,urgell,29925,2342,631,3080,154,386,175,36693,81.56,0.8155506499877361,6.38,0.06382688796228163,1.72,0.017196740522715505,8.39,0.08393971602212956,0.42,0.004196985801106478,1.05,0.010519717657318834,0.48,0.0047693020467119065
39,aran,8479,932,69,236,84,256,37,10093,84.01,0.8400871891409888,9.23,0.09234122659268801,0.68,0.006836421282076687,2.34,0.023382542356088377,0.83,0.008322599821658574,2.54,0.02536411374219756,0.37,0.0036659070643019916
40,valles occidental,825892,18238,4357,32114,9470,24299,10867,925237,89.26,0.8926275105729667,1.97,0.01971170629795393,0.47,0.004709063731778993,3.47,0.034708944843321224,1.02,0.010235215409673414,2.63,0.02626246032097722,1.17,0.011745098823328508
41,valles oriental,373353,6980,2019,14508,2247,7353,3178,409638,91.14,0.9114217919236008,1.7,0.01703943481805887,0.49,0.004928741962415596,3.54,0.0354166361519195,0.55,0.005485330950741874,1.79,0.017949994873522477,0.78,0.007758069319740844
42,moianes,12463,257,66,322,47,245,203,13603,91.62,0.9161949569947806,1.89,0.01889289127398368,0.49,0.004851870910828494,2.37,0.02367124898919356,0.35,0.0034551201940748364,1.8,0.018010732926560316,1.49,0.01492317871057855
