Curs;Estudi;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Naturalesa;Titularitat;Nivell;Sexe;Concert;Resultat de l'avaluació;Alumnes avaluats
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;3;DONA;SI;PROMOCIONEN AMB PENDENTS;19
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;3;DONA;SI;PROMOCIONEN SENSE PENDENTS;59
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;3;HOME;SI;NO PROMOCIONEN;10
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;3;HOME;SI;PROMOCIONEN AMB PENDENTS;26
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;3;HOME;SI;PROMOCIONEN SENSE PENDENTS;49
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;4;DONA;SI;NO PROMOCIONEN;5
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;4;DONA;SI;PROMOCIONEN SENSE PENDENTS;76
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;4;HOME;SI;NO PROMOCIONEN;8
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;4;HOME;SI;PROMOCIONEN SENSE PENDENTS;78
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;4;NINF;SI;PROMOCIONEN AMB PENDENTS;3
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PÚBLIC;DEPARTAMENT D'EDUCACIÓ;1;DONA;;PROMOCIONEN AMB PENDENTS;42
2021/2022;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;PÚBLIC;DEPARTAMENT D'EDUCACIÓ;1;DONA;;PROMOCIONEN SENSE PENDENTS;101
