codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
15,cerdanya,15649,776,282,371,219,1142,86,18525,84.48,0.8447503373819163,4.19,0.041889338731443994,1.52,0.015222672064777327,2.0,0.020026990553306343,1.18,0.011821862348178138,6.16,0.06164642375168691,0.46,0.004642375168690959
16,conca de barbera,17601,766,251,929,70,161,169,19947,88.24,0.8823883290720409,3.84,0.03840176467639244,1.26,0.012583345866546348,4.66,0.04657341956183887,0.35,0.0035092996440567502,0.81,0.008071389181330525,0.85,0.008472451997794155
17,garraf,130633,9998,1416,3587,1401,4237,1529,152801,85.49,0.8549224154292184,6.54,0.06543150895609322,0.93,0.009266955059194639,2.35,0.02347497725800224,0.92,0.009168788162381137,2.77,0.02772887611992068,1.0,0.010006479015189692
18,garrigues,16292,1257,70,1042,54,113,45,18873,86.32,0.8632437874211837,6.66,0.06660308377046574,0.37,0.003709002278387114,5.52,0.055211148201133896,0.29,0.002861230329041488,0.6,0.005987389392253484,0.24,0.002384358607534573
19,garrotxa,48777,1883,691,2514,1228,860,2667,58620,83.21,0.8320880245649949,3.21,0.03212214261344251,1.18,0.01178778573865575,4.29,0.042886386898669394,2.09,0.02094848174684408,1.47,0.014670760832480383,4.55,0.045496417604913
20,girones,155500,7029,1893,16988,8401,4191,3102,197104,78.89,0.7889236139297021,3.57,0.0356613767351246,0.96,0.009604066888546148,8.62,0.08618800227291176,4.26,0.04262216900722461,2.13,0.021262886597938145,1.57,0.015737884568552643
21,maresme,401357,11957,3709,22549,3549,9220,6285,458626,87.51,0.8751291902334364,2.61,0.026071352256522743,0.81,0.008087199591824275,4.92,0.049166423185776645,0.77,0.007738331450898989,2.01,0.02010352662081958,1.37,0.013703976660721371
22,montsia,56512,5822,776,2828,286,1109,930,68263,82.79,0.8278569649737046,8.53,0.08528778401183658,1.14,0.011367798075091924,4.14,0.0414280063870618,0.42,0.004189678156541611,1.62,0.016245989774841423,1.36,0.013623778620922022
23,noguera,32071,2796,264,3115,92,587,207,39132,81.96,0.8195594398446284,7.15,0.07145047531432076,0.67,0.006746396810794235,7.96,0.07960237146069712,0.24,0.002351017070428294,1.5,0.015000511090667485,0.53,0.0052897884084636615
24,osona,136830,3835,833,15223,984,2577,3420,163702,83.58,0.8358480653871059,2.34,0.023426714395670182,0.51,0.005088514495852219,9.3,0.09299214426213485,0.6,0.006010922285616547,1.57,0.01574201903458724,2.09,0.02089162013903312
