codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
11,baix llobregat,740451,20469,4876,21232,5341,17415,9384,819168,90.39,0.9039061584436892,2.5,0.0249875483417321,0.6,0.005952380952380952,2.59,0.025918981210203522,0.65,0.006520030079299972,2.13,0.02125937536622524,1.15,0.011455525606469003
12,baix penedes,88324,3989,979,5545,662,2149,761,102409,86.25,0.8624632600650334,3.9,0.03895165463972893,0.96,0.009559706666406273,5.41,0.05414563173158609,0.65,0.006464275600777275,2.1,0.02098448378560478,0.74,0.007430987510863303
13,barcelones,1852363,98685,27795,39022,43105,91703,101969,2254642,82.16,0.8215774389016083,4.38,0.04376969824921207,1.23,0.012327899506884019,1.73,0.017307404013586193,1.91,0.019118334529384266,4.07,0.040672976020139785,4.52,0.045226248779185345
14,bergueda,36162,865,178,1146,199,399,155,39104,92.48,0.9247647299509002,2.21,0.022120499181669393,0.46,0.004551963993453355,2.93,0.02930646481178396,0.51,0.0050889934533551555,1.02,0.010203559738134206,0.4,0.0039637888707037645
15,cerdanya,15493,768,251,324,134,844,68,17882,86.64,0.8664019684599038,4.29,0.04294821608321217,1.4,0.014036461245945644,1.81,0.018118778660105132,0.75,0.00749356895201879,4.72,0.047198299966446706,0.38,0.003802706632367744
16,conca de barbera,17891,811,248,756,56,174,167,20103,89.0,0.8899666716410486,4.03,0.04034223747699348,1.23,0.012336467193951152,3.76,0.037606327413818835,0.28,0.002785653882505099,0.87,0.008655424563497986,0.83,0.008307217828184848
17,garraf,129078,9598,1210,3340,1128,3437,1312,149103,86.57,0.8656968672662522,6.44,0.0643716088878158,0.81,0.008115195535971778,2.24,0.022400622388550197,0.76,0.00756524013601336,2.31,0.023051179386061982,0.88,0.008799286399334688
18,garrigues,16497,1234,51,841,37,74,37,18771,87.89,0.878855681636567,6.57,0.06573970486388578,0.27,0.002716957008150871,4.48,0.04480315380107613,0.2,0.0019711256725800435,0.39,0.003942251345160087,0.2,0.0019711256725800435
19,garrotxa,48705,1679,563,2020,827,532,2287,56613,86.03,0.8603147686927031,2.97,0.029657499160970095,0.99,0.009944712345221061,3.57,0.03568085068800452,1.46,0.014607952237118683,0.94,0.009397134933672478,4.04,0.04039708194231007
20,girones,153684,6846,1764,15270,7084,3453,2685,190786,80.55,0.8055308041470548,3.59,0.03588313607916723,0.92,0.009245961443711802,8.0,0.0800373193001583,3.71,0.03713060706760454,1.81,0.018098812281823615,1.41,0.0140733596804797
21,maresme,398032,10743,3150,20189,2801,7464,5445,447824,88.88,0.8888134624316696,2.4,0.023989335095930545,0.7,0.007034013362392368,4.51,0.04508244310264747,0.63,0.006254689342241595,1.67,0.016667262138697344,1.22,0.012158794526421095
22,montsia,56287,5803,806,2262,194,954,777,67083,83.91,0.8390650388324911,8.65,0.08650477766349149,1.2,0.0120149665339952,3.37,0.03371942220830911,0.29,0.0028919398357258918,1.42,0.014221188676713922,1.16,0.011582666249273288
23,noguera,32473,2764,265,2582,73,396,155,38708,83.89,0.8389221866280873,7.14,0.07140642761186318,0.68,0.0068461299989666215,6.67,0.06670455719747856,0.19,0.001885915056319107,1.02,0.010230443319210499,0.4,0.0040043401880748165
24,osona,135651,3608,696,13042,661,1918,2758,158334,85.67,0.8567395505703134,2.28,0.02278727247464221,0.44,0.004395770965174884,8.24,0.08237017949398108,0.42,0.00417471926433994,1.21,0.012113633205754924,1.74,0.017418874025793576
25,pallars jussa,11565,574,95,495,94,227,41,13091,88.34,0.8834313650599649,4.38,0.04384691772973799,0.73,0.00725689404934688,3.78,0.03781223741501795,0.72,0.007180505690932702,1.73,0.017340157360018333,0.31,0.003131922694981285
26,pallars sobira,6240,452,16,85,32,94,15,6934,89.99,0.8999134698586674,6.52,0.06518603980386502,0.23,0.0023074704355350445,1.23,0.012258436688779925,0.46,0.004614940871070089,1.36,0.013556388808768388,0.22,0.002163253533314104
27,pla d'urgell,30059,2902,238,2972,37,363,169,36740,81.82,0.8181545998911268,7.9,0.07898747958628198,0.65,0.006477953184540011,8.09,0.08089275993467611,0.1,0.0010070767555797496,0.99,0.009880239520958085,0.46,0.004599891126837234
28,pla de l'estany,27515,949,144,2236,437,410,315,32006,85.97,0.85968255952009,2.97,0.029650690495532088,0.45,0.004499156408173467,6.99,0.06986190089358245,1.37,0.013653689933137536,1.28,0.012810098106605012,0.98,0.00984190464287946
29,priorat,8239,541,42,351,29,86,8,9296,88.63,0.8862951807228916,5.82,0.058197074010327025,0.45,0.004518072289156626,3.78,0.03775817555938038,0.31,0.0031196213425129086,0.93,0.009251290877796902,0.09,0.0008605851979345956
30,ribera d'ebre,18793,1568,177,1086,52,130,158,21964,85.56,0.8556273902749955,7.14,0.07138954653068658,0.81,0.008058641413221636,4.94,0.049444545620105626,0.24,0.0023675104716809323,0.59,0.0059187761792023315,0.72,0.007193589510107449
31,ripolles,22914,393,87,932,230,317,127,25000,91.66,0.91656,1.57,0.01572,0.35,0.00348,3.73,0.03728,0.92,0.0092,1.27,0.01268,0.51,0.00508
32,segarra,16883,2094,1402,2033,83,224,103,22822,73.98,0.7397686442905967,9.18,0.09175357111559022,6.14,0.0614319516256244,8.91,0.08908071159407589,0.36,0.0036368416440276928,0.98,0.009815090701954255,0.45,0.004513189028130751
33,segria,171510,13129,1509,16368,885,3176,2061,208638,82.2,0.8220458401633451,6.29,0.06292717529884297,0.72,0.0072326230121070945,7.85,0.07845167227446583,0.42,0.004241796796364996,1.52,0.015222538559610426,0.99,0.009878353895263566
34,selva,137417,9968,4990,8133,1765,3107,3649,169029,81.3,0.8129788379508842,5.9,0.05897212904294529,2.95,0.029521561388874098,4.81,0.04811600376266795,1.04,0.010441995160593744,1.84,0.018381461169385136,2.16,0.021588011524649616
35,solsones,11965,618,69,573,26,101,40,13392,89.34,0.8934438470728794,4.61,0.04614695340501792,0.52,0.005152329749103943,4.28,0.04278673835125448,0.19,0.001941457586618877,0.75,0.007541816009557945,0.3,0.002986857825567503
36,tarragones,211389,9969,3492,15290,1590,6625,4435,252790,83.62,0.8362237430278097,3.94,0.039435895407255034,1.38,0.013813837572688793,6.05,0.06048498753906405,0.63,0.006289805767633213,2.62,0.026207524031805055,1.75,0.017544206653744215
37,terra alta,10193,965,36,60,60,40,129,11483,88.77,0.8876600191587565,8.4,0.08403727248976749,0.31,0.0031350692327788907,0.52,0.005225115387964817,0.52,0.005225115387964817,0.35,0.0034834102586432116,1.12,0.011233998084124357
38,urgell,29881,2187,596,2912,142,351,174,36243,82.45,0.8244626548574897,6.03,0.060342686863670225,1.64,0.016444554810584114,8.03,0.08034654967855862,0.39,0.003917997958226416,0.97,0.00968462875589769,0.48,0.004800927075573214
39,aran,8479,865,65,249,73,220,32,9983,84.93,0.8493438846038265,8.66,0.08664730041069818,0.65,0.006511068816988881,2.49,0.024942402083542023,0.73,0.007312431132925974,2.2,0.02203746368827006,0.32,0.003205449263748372
40,valles occidental,825191,17718,4083,30560,8182,22203,9968,917905,89.9,0.8989939045979704,1.93,0.019302651145815742,0.44,0.004448172741187814,3.33,0.03329320572390389,0.89,0.008913776480136833,2.42,0.024188777705753863,1.09,0.010859511605231478
41,valles oriental,372039,6753,1907,14082,1897,6684,2927,406289,91.57,0.9157004004538641,1.66,0.016621173598103813,0.47,0.004693703250641785,3.47,0.034660057249888625,0.47,0.00466909022887649,1.65,0.016451343747923276,0.72,0.00720423147070189
42,moianes,12411,234,54,288,44,234,167,13432,92.4,0.9239874925550923,1.74,0.017421083978558665,0.4,0.004020250148898154,2.14,0.02144133412745682,0.33,0.003275759380583681,1.74,0.017421083978558665,1.24,0.012432995830851697
