codi,comarca,tipus_estudis,sexe,valor,any
42,moianes,educacio_obligatoria,dones,3606,2022
42,moianes,educacio_obligatoria,homes,4278,2022
42,moianes,estudis_superiors,dones,2274,2022
42,moianes,estudis_superiors,homes,2058,2022
42,moianes,sense_educacio,dones,99,2022
42,moianes,sense_educacio,homes,63,2022
01,alt camp,educacio_obligatoria,dones,12360,2021
01,alt camp,educacio_obligatoria,homes,13752,2021
01,alt camp,estudis_superiors,dones,5634,2021
01,alt camp,estudis_superiors,homes,5031,2021
01,alt camp,sense_educacio,dones,843,2021
01,alt camp,sense_educacio,homes,594,2021
02,alt emporda,educacio_obligatoria,dones,42108,2021
02,alt emporda,educacio_obligatoria,homes,45210,2021
02,alt emporda,estudis_superiors,dones,15174,2021
02,alt emporda,estudis_superiors,homes,12477,2021
02,alt emporda,sense_educacio,dones,3234,2021
02,alt emporda,sense_educacio,homes,2802,2021
03,alt penedes,sense_educacio,homes,855,2021
03,alt penedes,sense_educacio,dones,1593,2021
03,alt penedes,estudis_superiors,homes,12756,2021
03,alt penedes,educacio_obligatoria,homes,32121,2021
03,alt penedes,educacio_obligatoria,dones,29673,2021
03,alt penedes,estudis_superiors,dones,15087,2021
04,alt urgell,educacio_obligatoria,dones,5580,2021
04,alt urgell,educacio_obligatoria,homes,6303,2021
04,alt urgell,estudis_superiors,dones,2916,2021
04,alt urgell,estudis_superiors,homes,2310,2021
04,alt urgell,sense_educacio,dones,390,2021
04,alt urgell,sense_educacio,homes,261,2021
05,alta ribagorca,sense_educacio,dones,81,2021
05,alta ribagorca,sense_educacio,homes,51,2021
05,alta ribagorca,estudis_superiors,homes,537,2021
05,alta ribagorca,estudis_superiors,dones,648,2021
05,alta ribagorca,educacio_obligatoria,homes,1161,2021
05,alta ribagorca,educacio_obligatoria,dones,969,2021
06,anoia,educacio_obligatoria,dones,34467,2021
06,anoia,educacio_obligatoria,homes,38157,2021
06,anoia,estudis_superiors,dones,15186,2021
06,anoia,estudis_superiors,homes,12945,2021
06,anoia,sense_educacio,dones,2265,2021
06,anoia,sense_educacio,homes,1182,2021
07,bages,educacio_obligatoria,dones,50427,2021
07,bages,estudis_superiors,homes,20238,2021
07,bages,sense_educacio,dones,3111,2021
07,bages,estudis_superiors,dones,24099,2021
07,bages,educacio_obligatoria,homes,53214,2021
07,bages,sense_educacio,homes,1830,2021
08,baix camp,educacio_obligatoria,dones,53154,2021
08,baix camp,educacio_obligatoria,homes,54984,2021
08,baix camp,estudis_superiors,dones,25947,2021
08,baix camp,sense_educacio,dones,4566,2021
08,baix camp,estudis_superiors,homes,22080,2021
08,baix camp,sense_educacio,homes,2535,2021
09,baix ebre,educacio_obligatoria,homes,25248,2021
09,baix ebre,estudis_superiors,dones,8877,2021
09,baix ebre,estudis_superiors,homes,7539,2021
09,baix ebre,sense_educacio,dones,1890,2021
09,baix ebre,educacio_obligatoria,dones,22824,2021
09,baix ebre,sense_educacio,homes,1362,2021
10,baix emporda,sense_educacio,dones,2481,2021
10,baix emporda,educacio_obligatoria,dones,38451,2021
10,baix emporda,educacio_obligatoria,homes,41319,2021
10,baix emporda,estudis_superiors,dones,17688,2021
10,baix emporda,estudis_superiors,homes,14943,2021
10,baix emporda,sense_educacio,homes,1749,2021
11,baix llobregat,sense_educacio,homes,8238,2021
11,baix llobregat,sense_educacio,dones,16254,2021
11,baix llobregat,estudis_superiors,homes,109911,2021
11,baix llobregat,educacio_obligatoria,homes,224457,2021
11,baix llobregat,educacio_obligatoria,dones,220455,2021
11,baix llobregat,estudis_superiors,dones,123948,2021
12,baix penedes,sense_educacio,dones,1551,2021
12,baix penedes,sense_educacio,homes,924,2021
12,baix penedes,estudis_superiors,homes,11586,2021
12,baix penedes,educacio_obligatoria,dones,32154,2021
12,baix penedes,educacio_obligatoria,homes,34035,2021
12,baix penedes,estudis_superiors,dones,12864,2021
13,barcelones,educacio_obligatoria,dones,565032,2021
13,barcelones,educacio_obligatoria,homes,537510,2021
13,barcelones,estudis_superiors,dones,425067,2021
13,barcelones,sense_educacio,dones,49614,2021
13,barcelones,estudis_superiors,homes,374139,2021
13,barcelones,sense_educacio,homes,26781,2021
14,bergueda,educacio_obligatoria,dones,11448,2021
14,bergueda,educacio_obligatoria,homes,12150,2021
14,bergueda,estudis_superiors,homes,4866,2021
14,bergueda,sense_educacio,dones,501,2021
14,bergueda,sense_educacio,homes,219,2021
14,bergueda,estudis_superiors,dones,5562,2021
15,cerdanya,estudis_superiors,homes,2649,2021
15,cerdanya,sense_educacio,homes,111,2021
15,cerdanya,educacio_obligatoria,dones,5040,2021
15,cerdanya,educacio_obligatoria,homes,5691,2021
15,cerdanya,estudis_superiors,dones,2898,2021
15,cerdanya,sense_educacio,dones,180,2021
16,conca de barbera,sense_educacio,dones,348,2021
16,conca de barbera,estudis_superiors,homes,2241,2021
16,conca de barbera,estudis_superiors,dones,2613,2021
16,conca de barbera,educacio_obligatoria,dones,5583,2021
16,conca de barbera,educacio_obligatoria,homes,6444,2021
16,conca de barbera,sense_educacio,homes,207,2021
17,garraf,estudis_superiors,dones,25143,2021
17,garraf,estudis_superiors,homes,23124,2021
17,garraf,educacio_obligatoria,homes,40539,2021
17,garraf,sense_educacio,dones,1638,2021
17,garraf,sense_educacio,homes,927,2021
17,garraf,educacio_obligatoria,dones,40218,2021
18,garrigues,educacio_obligatoria,dones,5286,2021
18,garrigues,sense_educacio,dones,273,2021
18,garrigues,estudis_superiors,homes,1926,2021
18,garrigues,sense_educacio,homes,291,2021
18,garrigues,educacio_obligatoria,homes,6507,2021
18,garrigues,estudis_superiors,dones,2328,2021
19,garrotxa,estudis_superiors,dones,8286,2021
19,garrotxa,educacio_obligatoria,homes,17850,2021
19,garrotxa,educacio_obligatoria,dones,15762,2021
19,garrotxa,sense_educacio,dones,1026,2021
19,garrotxa,estudis_superiors,homes,6486,2021
19,garrotxa,sense_educacio,homes,948,2021
20,girones,sense_educacio,dones,3450,2021
20,girones,estudis_superiors,homes,23757,2021
20,girones,estudis_superiors,dones,29037,2021
20,girones,educacio_obligatoria,homes,53289,2021
20,girones,educacio_obligatoria,dones,50121,2021
20,girones,sense_educacio,homes,2757,2021
21,maresme,estudis_superiors,dones,71298,2021
21,maresme,sense_educacio,homes,6666,2021
21,maresme,sense_educacio,dones,9075,2021
21,maresme,educacio_obligatoria,dones,118539,2021
21,maresme,educacio_obligatoria,homes,123162,2021
21,maresme,estudis_superiors,homes,61860,2021
22,montsia,estudis_superiors,homes,6321,2021
22,montsia,sense_educacio,dones,1356,2021
22,montsia,sense_educacio,homes,1047,2021
22,montsia,educacio_obligatoria,homes,22278,2021
22,montsia,estudis_superiors,dones,7755,2021
22,montsia,educacio_obligatoria,dones,20148,2021
23,noguera,educacio_obligatoria,dones,10695,2021
23,noguera,educacio_obligatoria,homes,13092,2021
23,noguera,estudis_superiors,homes,3684,2021
23,noguera,sense_educacio,dones,744,2021
23,noguera,sense_educacio,homes,708,2021
23,noguera,estudis_superiors,dones,4599,2021
24,osona,sense_educacio,homes,1770,2021
24,osona,sense_educacio,dones,2775,2021
24,osona,estudis_superiors,homes,17877,2021
24,osona,estudis_superiors,dones,22347,2021
24,osona,educacio_obligatoria,homes,49344,2021
24,osona,educacio_obligatoria,dones,43719,2021
25,pallars jussa,sense_educacio,homes,165,2021
25,pallars jussa,educacio_obligatoria,dones,3414,2021
25,pallars jussa,sense_educacio,dones,252,2021
25,pallars jussa,estudis_superiors,dones,1986,2021
25,pallars jussa,estudis_superiors,homes,1806,2021
25,pallars jussa,educacio_obligatoria,homes,3906,2021
26,pallars sobira,sense_educacio,homes,48,2021
26,pallars sobira,sense_educacio,dones,75,2021
26,pallars sobira,estudis_superiors,homes,1182,2021
26,pallars sobira,estudis_superiors,dones,1287,2021
26,pallars sobira,educacio_obligatoria,homes,1962,2021
26,pallars sobira,educacio_obligatoria,dones,1677,2021
27,pla d'urgell,estudis_superiors,dones,4464,2021
27,pla d'urgell,educacio_obligatoria,dones,10158,2021
27,pla d'urgell,educacio_obligatoria,homes,12087,2021
27,pla d'urgell,sense_educacio,homes,561,2021
27,pla d'urgell,estudis_superiors,homes,3498,2021
27,pla d'urgell,sense_educacio,dones,588,2021
28,pla de l'estany,educacio_obligatoria,dones,8211,2021
28,pla de l'estany,educacio_obligatoria,homes,8961,2021
28,pla de l'estany,estudis_superiors,dones,5001,2021
28,pla de l'estany,estudis_superiors,homes,3999,2021
28,pla de l'estany,sense_educacio,dones,570,2021
28,pla de l'estany,sense_educacio,homes,558,2021
29,priorat,educacio_obligatoria,dones,2535,2021
29,priorat,educacio_obligatoria,homes,3012,2021
29,priorat,estudis_superiors,dones,1275,2021
29,priorat,estudis_superiors,homes,1197,2021
29,priorat,sense_educacio,dones,96,2021
29,priorat,sense_educacio,homes,96,2021
30,ribera d'ebre,sense_educacio,dones,399,2021
30,ribera d'ebre,estudis_superiors,dones,2724,2021
30,ribera d'ebre,educacio_obligatoria,homes,6942,2021
30,ribera d'ebre,educacio_obligatoria,dones,6342,2021
30,ribera d'ebre,sense_educacio,homes,273,2021
30,ribera d'ebre,estudis_superiors,homes,2478,2021
31,ripolles,educacio_obligatoria,dones,7278,2021
31,ripolles,estudis_superiors,dones,3366,2021
31,ripolles,educacio_obligatoria,homes,7635,2021
31,ripolles,sense_educacio,homes,336,2021
31,ripolles,sense_educacio,dones,546,2021
31,ripolles,estudis_superiors,homes,3075,2021
32,segarra,educacio_obligatoria,dones,6342,2021
32,segarra,educacio_obligatoria,homes,7782,2021
32,segarra,estudis_superiors,homes,2136,2021
