codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio,any
02,alt emporda,108103,11083,2766,13636,2481,4201,1127,143397,75.39,0.7538721172688411,7.73,0.0772889251518511,1.93,0.0192891064666624,9.51,0.095092644894942,1.73,0.0173016171886441,2.93,0.0292962893226497,0.79,0.0078592997064094,2021
03,alt penedes,98205,1811,769,5958,680,1935,840,110198,89.12,0.8911686237499773,1.64,0.0164340550645202,0.7,0.0069783480643931,5.41,0.0540663169930488,0.62,0.0061707109021942,1.76,0.017559302346685,0.76,0.0076226428791811,2021
04,alt urgell,17788,971,314,446,164,634,127,20444,87.01,0.8700841322637448,4.75,0.0474955977303854,1.54,0.0153590295441205,2.18,0.0218156916454705,0.8,0.0080219135198591,3.1,0.0310115437292115,0.62,0.0062120915672079,2021
05,alta ribagorca,3455,177,56,147,35,84,6,3960,87.25,0.8724747474747475,4.47,0.0446969696969697,1.41,0.0141414141414141,3.71,0.0371212121212121,0.88,0.0088383838383838,2.12,0.0212121212121212,0.15,0.0015151515151515,2021
06,anoia,112293,2037,640,5858,677,1637,988,124130,90.46,0.9046402964633852,1.64,0.0164102150970756,0.52,0.0051558849593168,4.72,0.047192459518247,0.55,0.0054539595585273,1.32,0.0131877869975026,0.8,0.0079593974059453,2021
07,bages,157700,3942,1346,11179,1657,3202,1661,180687,87.28,0.8727800007748205,2.18,0.0218167328031347,0.74,0.0074493461068034,6.19,0.0618694206002645,0.92,0.0091705546054779,1.77,0.0177212527741342,0.92,0.0091926923353644,2021
08,baix camp,162592,9135,2712,12453,1299,5219,1686,195096,83.34,0.8333948415139214,4.68,0.0468231024726288,1.39,0.0139008488128921,6.38,0.0638301144052159,0.67,0.0066582605486529,2.68,0.0267509328740722,0.86,0.0086418993726165,2021
09,baix ebre,65222,4040,1746,4829,471,1017,1642,78967,82.59,0.8259399495991997,5.12,0.0511606113946332,2.21,0.0221105018552053,6.12,0.061152126837793,0.6,0.0059645168234832,1.29,0.0128787974723618,2.08,0.0207934960173236,2021
10,baix emporda,110079,6386,4110,11092,2295,2142,929,137033,80.33,0.8033028540570519,4.66,0.0466019134077193,3.0,0.0299927754628447,8.09,0.0809440061882904,1.67,0.0167477906781578,1.56,0.0156312712996139,0.68,0.0067793889063218,2021
11,baix llobregat,742520,20635,6708,22342,7162,21845,11162,832374,89.21,0.8920509290294988,2.48,0.0247905388683452,0.81,0.0080588773796394,2.68,0.0268412997042194,0.86,0.008604305276234,2.62,0.0262442123372426,1.34,0.0134098374048204,2021
