codi,comarca,analfabetisme_dones,analfabetisme_homes,analfabetisme_total,doctorat universitari_dones,doctorat universitari_homes,doctorat universitari_total,educacio primaria_dones,educacio primaria_homes,educacio primaria_total,educacio primaria incompleta_dones,educacio primaria incompleta_homes,educacio primaria incompleta_total,educacio secundaria_dones,educacio secundaria_homes,educacio secundaria_total,formacio professional_dones,formacio professional_homes,formacio professional_total,graus universitaris_dones,graus universitaris_homes,graus universitaris_total,masters universitaris_dones,masters universitaris_homes,masters universitaris_total,any
35,solsones,15.0,15.0,27,36.0,45.0,81,690.0,561.0,1251,324.0,267.0,591,2721.0,3279.0,6003,609.0,780.0,1389,1191.0,849.0,2040,198.0,111.0,312,2022
36,tarragones,528.0,150.0,681,1395.0,1530.0,2928,13092.0,10320.0,23412,3606.0,2199.0,5805,56178.0,61530.0,117711,10869.0,12648.0,23517,23187.0,18138.0,41328,4314.0,2970.0,7287,2022
37,terra alta,18.0,12.0,30,18.0,21.0,39,960.0,819.0,1779,240.0,174.0,417,2592.0,3225.0,5814,306.0,375.0,681,705.0,423.0,1128,129.0,84.0,213,2022
38,urgell,51.0,21.0,72,102.0,84.0,189,2034.0,1926.0,3963,408.0,360.0,768,8193.0,10011.0,18201,1365.0,1527.0,2892,2952.0,1914.0,4866,450.0,261.0,711,2022
39,aran,6.0,6.0,9,33.0,36.0,72,378.0,351.0,732,75.0,39.0,114,2244.0,2718.0,4965,390.0,516.0,909,1068.0,816.0,1890,135.0,90.0,228,2022
40,valles occidental,1911.0,495.0,2406,4563.0,5196.0,9756,45075.0,31905.0,76983,12906.0,6948.0,19854,198396.0,215235.0,413634,39057.0,42687.0,81741,89778.0,71613.0,161388,13761.0,9960.0,23718,2022
41,valles oriental,519.0,126.0,645,1485.0,1512.0,3000,19566.0,16101.0,35667,5892.0,4143.0,10035,91239.0,102081.0,193317,18618.0,20814.0,39432,35862.0,26739.0,62601,5214.0,3429.0,8643,2022
42,moianes,3.0,0.0,3,81.0,75.0,153,735.0,669.0,1401,96.0,63.0,159,2871.0,3609.0,6483,531.0,687.0,1218,1452.0,1155.0,2607,210.0,141.0,351,2022
01,alt camp,60.0,27.0,87,120.0,102.0,219,2367.0,2064.0,4428,783.0,567.0,1350,9993.0,11688.0,21675,1848.0,2265.0,4110,3177.0,2337.0,5517,489.0,327.0,813,2021
02,alt emporda,210.0,129.0,336,312.0,402.0,714,9276.0,8577.0,17850,3024.0,2673.0,5697,32832.0,36633.0,69471,3567.0,3867.0,7431,10089.0,7350.0,17439,1206.0,858.0,2064,2021
03,alt penedes,141.0,39.0,177,324.0,348.0,672,6471.0,5181.0,11655,1452.0,816.0,2271,23202.0,26940.0,50148,4440.0,4968.0,9411,9108.0,6666.0,15777,1215.0,774.0,1989,2021
04,alt urgell,18.0,12.0,30,72.0,78.0,147,1158.0,1017.0,2175,372.0,249.0,621,4422.0,5286.0,9708,672.0,831.0,1506,1872.0,1218.0,3093,300.0,183.0,486,2021
05,alta ribagorca,6.0,3.0,9,15.0,15.0,33,231.0,174.0,402,75.0,48.0,123,738.0,987.0,1725,150.0,198.0,348,435.0,294.0,732,48.0,30.0,81,2021
06,anoia,252.0,66.0,318,237.0,273.0,510,6453.0,5394.0,11847,2013.0,1116.0,3132,28014.0,32763.0,60774,5058.0,5562.0,10620,8703.0,6363.0,15066,1188.0,747.0,1932,2021
07,bages,255.0,66.0,321,435.0,504.0,939,10656.0,8184.0,18840,2856.0,1764.0,4617,39771.0,45030.0,84798,6930.0,7512.0,14442,14718.0,10959.0,25677,2016.0,1263.0,3282,2021
08,baix camp,855.0,321.0,1179,645.0,615.0,1263,9948.0,8040.0,17988,3711.0,2214.0,5922,43206.0,46944.0,90147,7359.0,8082.0,15438,15294.0,11739.0,27033,2649.0,1644.0,4296,2021
09,baix ebre,99.0,33.0,132,144.0,180.0,324,5580.0,4536.0,10119,1791.0,1329.0,3120,17244.0,20712.0,37956,2499.0,2901.0,5403,5226.0,3828.0,9057,1008.0,630.0,1635,2021
10,baix emporda,402.0,162.0,564,381.0,474.0,858,7980.0,7524.0,15504,2079.0,1587.0,3666,30471.0,33795.0,64266,4299.0,4374.0,8673,11559.0,9168.0,20730,1449.0,927.0,2376,2021
11,baix llobregat,1884.0,411.0,2292,2811.0,2943.0,5757,44583.0,32463.0,77046,14370.0,7827.0,22197,175872.0,191994.0,367869,37311.0,42690.0,80001,74346.0,57732.0,132075,9480.0,6546.0,16026,2021
12,baix penedes,132.0,30.0,162,294.0,309.0,606,6666.0,5700.0,12363,1419.0,894.0,2316,25488.0,28335.0,53829,4305.0,4722.0,9024,7500.0,5955.0,13452,765.0,600.0,1365,2021
13,barcelones,4089.0,1098.0,5187,18222.0,19488.0,37707,127794.0,88197.0,215991,45525.0,25683.0,71208,437238.0,449313.0,886554,78891.0,89043.0,167931,283341.0,233727.0,517074,44613.0,31881.0,76494,2021
14,bergueda,57.0,6.0,63,87.0,105.0,189,2730.0,2082.0,4812,444.0,213.0,657,8718.0,10068.0,18786,1629.0,2013.0,3642,3342.0,2397.0,5742,504.0,351.0,855,2021
15,cerdanya,12.0,9.0,24,60.0,102.0,162,1002.0,828.0,1833,168.0,102.0,273,4038.0,4863.0,8898,642.0,771.0,1410,1938.0,1605.0,3543,258.0,171.0,429,2021
16,conca de barbera,12.0,6.0,18,45.0,54.0,99,1269.0,975.0,2241,336.0,201.0,534,4314.0,5469.0,9783,810.0,951.0,1761,1521.0,1098.0,2619,237.0,138.0,375,2021
17,garraf,252.0,135.0,387,723.0,813.0,1536,8010.0,5967.0,13977,1386.0,792.0,2181,32208.0,34572.0,66777,5586.0,5934.0,11523,16905.0,14949.0,31848,1929.0,1428.0,3354,2021
18,garrigues,15.0,9.0,24,42.0,27.0,75,1344.0,1308.0,2646,258.0,282.0,540,3942.0,5199.0,9141,693.0,879.0,1572,1365.0,912.0,2277,228.0,108.0,333,2021
19,garrotxa,48.0,24.0,75,159.0,192.0,348,4056.0,3930.0,7986,978.0,924.0,1905,11706.0,13920.0,25629,2208.0,2322.0,4527,5178.0,3525.0,8697,741.0,447.0,1188,2021
20,girones,549.0,303.0,855,1083.0,1161.0,2244,10065.0,9096.0,19158,2901.0,2454.0,5358,40056.0,44193.0,84249,5706.0,6435.0,12141,18885.0,13923.0,32808,3363.0,2238.0,5601,2021
21,maresme,819.0,297.0,1116,1839.0,2070.0,3909,22311.0,17799.0,40113,8256.0,6369.0,14622,96228.0,105363.0,201588,17604.0,18681.0,36288,45903.0,36906.0,82809,5952.0,4203.0,10155,2021
22,montsia,147.0,72.0,219,105.0,102.0,207,4695.0,3636.0,8334,1209.0,975.0,2187,15453.0,18642.0,34101,2661.0,2703.0,5367,4263.0,3057.0,7320,726.0,459.0,1182,2021
23,noguera,87.0,72.0,159,66.0,87.0,153,2361.0,2238.0,4599,657.0,636.0,1290,8334.0,10854.0,19182,1239.0,1464.0,2703,2889.0,1872.0,4758,405.0,261.0,666,2021
24,osona,249.0,66.0,318,516.0,537.0,1053,9153.0,8265.0,17421,2526.0,1704.0,4230,34566.0,41079.0,75645,5439.0,6321.0,11760,14259.0,9789.0,24051,2133.0,1230.0,3360,2021
25,pallars jussa,6.0,3.0,9,36.0,45.0,81,945.0,849.0,1794,246.0,162.0,411,2469.0,3057.0,5526,531.0,750.0,1281,1230.0,900.0,2127,189.0,111.0,303,2021
26,pallars sobira,3.0,0.0,3,36.0,39.0,75,351.0,303.0,651,72.0,48.0,120,1326.0,1659.0,2985,285.0,477.0,762,834.0,594.0,1425,132.0,72.0,201,2021
27,pla d'urgell,93.0,51.0,147,54.0,72.0,126,2397.0,2250.0,4650,495.0,510.0,1002,7761.0,9837.0,17595,1389.0,1566.0,2955,2604.0,1668.0,4269,417.0,192.0,609,2021
28,pla de l'estany,90.0,66.0,156,141.0,162.0,303,1665.0,1368.0,3033,480.0,492.0,972,6546.0,7593.0,14139,1137.0,1308.0,2445,3102.0,2130.0,5235,621.0,399.0,1017,2021
29,priorat,12.0,6.0,21,33.0,42.0,75,558.0,468.0,1023,84.0,90.0,177,1977.0,2544.0,4521,360.0,498.0,861,762.0,588.0,1350,120.0,69.0,189,2021
30,ribera d'ebre,30.0,27.0,57,33.0,42.0,75,1737.0,1431.0,3165,369.0,246.0,618,4605.0,5511.0,10116,897.0,1176.0,2076,1548.0,1113.0,2658,246.0,147.0,393,2021
31,ripolles,48.0,27.0,75,69.0,72.0,141,1674.0,1230.0,2904,498.0,309.0,807,5604.0,6405.0,12006,900.0,1266.0,2166,2139.0,1560.0,3702,258.0,177.0,438,2021
32,segarra,9.0,6.0,15,45.0,36.0,84,1431.0,1668.0,3102,465.0,471.0,936,4911.0,6114.0,11028,672.0,906.0,1578,1632.0,1065.0,2694,243.0,129.0,372,2021
33,segria,480.0,237.0,720,837.0,924.0,1758,11130.0,10332.0,21462,3561.0,3219.0,6780,43842.0,52197.0,96039,7338.0,8148.0,15486,18495.0,13098.0,31590,2985.0,1884.0,4872,2021
34,selva,444.0,303.0,747,390.0,396.0,786,9861.0,9057.0,18915,2751.0,2325.0,5076,41148.0,47799.0,88953,5691.0,5862.0,11550,11952.0,8667.0,20622,1536.0,951.0,2487,2021
35,solsones,15.0,15.0,27,33.0,39.0,72,756.0,606.0,1362,357.0,273.0,633,2685.0,3249.0,5934,585.0,735.0,1320,1161.0,813.0,1971,174.0,105.0,279,2021
36,tarragones,594.0,168.0,762,1236.0,1344.0,2580,13983.0,11646.0,25629,3891.0,2631.0,6519,55311.0,60696.0,116004,10542.0,12285.0,22827,22587.0,17769.0,40356,3966.0,2691.0,6654,2021
37,terra alta,21.0,12.0,30,12.0,18.0,33,999.0,858.0,1860,264.0,195.0,459,2544.0,3189.0,5733,300.0,345.0,648,693.0,411.0,1101,111.0,81.0,192,2021
38,urgell,51.0,21.0,72,96.0,81.0,177,2193.0,2055.0,4248,432.0,387.0,819,8109.0,9804.0,17910,1305.0,1509.0,2811,2880.0,1881.0,4764,414.0,231.0,642,2021
39,aran,6.0,6.0,12,36.0,30.0,63,420.0,384.0,807,81.0,45.0,129,2244.0,2727.0,4977,399.0,513.0,915,1065.0,807.0,1869,123.0,78.0,198,2021
40,valles occidental,2139.0,573.0,2715,4134.0,4899.0,9033,47721.0,34653.0,82371,13752.0,7506.0,21261,196455.0,213318.0,409770,37803.0,41358.0,79161,88242.0,70659.0,158898,12627.0,9156.0,21783,2021
41,valles oriental,600.0,162.0,762,1257.0,1332.0,2592,20601.0,17478.0,38076,6231.0,4434.0,10665,90579.0,100944.0,191526,17880.0,19971.0,37854,34956.0,26058.0,61017,4638.0,3126.0,7770,2021
42,moianes,3.0,0.0,3,69.0,66.0,135,786.0,726.0,1512,105.0,66.0,174,2844.0,3561.0,6408,495.0,642.0,1137,1410.0,1086.0,2496,186.0,126.0,312,2021
01,alt camp,,,105,,,220,,,4445,,,1370,,,21815,,,4015,,,5460,,,705,2020
02,alt emporda,,,335,,,655,,,15730,,,5810,,,71940,,,7180,,,17160,,,1830,2020
03,alt penedes,,,185,,,640,,,11870,,,2155,,,50080,,,9155,,,15475,,,1825,2020
