codi,comarca,poblacio_total_16_a_24_anys,poblacio_homes_16_a_24_anys,poblacio_dones_16_a_24_anys,any
39,aran,860,460,400,2021
40,valles occidental,93509,47981,45528,2021
41,valles oriental,41342,21596,19746,2021
42,moianes,1380,733,647,2021
01,alt camp,4176,2195,1981,2020
02,alt emporda,13092,6756,6336,2020
03,alt penedes,10094,5160,4934,2020
04,alt urgell,1678,882,796,2020
05,alta ribagorca,277,134,143,2020
06,anoia,11419,5971,5448,2020
07,bages,16212,8458,7754,2020
08,baix camp,18195,9281,8914,2020
09,baix ebre,7041,3799,3242,2020
10,baix emporda,12058,6221,5837,2020
11,baix llobregat,77491,40016,37475,2020
12,baix penedes,9543,4872,4671,2020
13,barcelones,197879,101797,96082,2020
14,bergueda,3163,1646,1517,2020
15,cerdanya,1719,929,790,2020
16,conca de barbera,1737,944,793,2020
17,garraf,13939,7197,6742,2020
18,garrigues,1551,867,684,2020
19,garrotxa,5399,2935,2464,2020
20,girones,20001,10474,9527,2020
21,maresme,42113,22233,19880,2020
22,montsia,6022,3186,2836,2020
23,noguera,3493,1924,1569,2020
24,osona,15577,8203,7374,2020
25,pallars jussa,1070,558,512,2020
26,pallars sobira,543,291,252,2020
27,pla d'urgell,3383,1799,1584,2020
28,pla de l'estany,3117,1610,1507,2020
29,priorat,694,382,312,2020
30,ribera d'ebre,1821,919,902,2020
31,ripolles,1838,967,871,2020
32,segarra,2340,1290,1050,2020
33,segria,19648,10423,9225,2020
34,selva,16531,8898,7633,2020
35,solsones,1217,638,579,2020
36,tarragones,24257,12569,11688,2020
37,terra alta,879,456,423,2020
38,urgell,3367,1768,1599,2020
39,aran,854,461,393,2020
40,valles occidental,90713,46708,44005,2020
41,valles oriental,40002,20971,19031,2020
42,moianes,1331,703,628,2020
01,alt camp,4063,2118,1945,2019
02,alt emporda,12663,6535,6128,2019
03,alt penedes,9605,4865,4740,2019
04,alt urgell,1720,910,810,2019
05,alta ribagorca,292,141,151,2019
06,anoia,10846,5643,5203,2019
07,bages,15437,7968,7469,2019
08,baix camp,17357,8778,8579,2019
09,baix ebre,6782,3541,3241,2019
10,baix emporda,11731,6039,5692,2019
11,baix llobregat,74056,38250,35806,2019
12,baix penedes,9127,4705,4422,2019
13,barcelones,190207,97019,93188,2019
14,bergueda,3057,1608,1449,2019
15,cerdanya,1656,884,772,2019
16,conca de barbera,1691,916,775,2019
17,garraf,13177,6753,6424,2019
18,garrigues,1512,835,677,2019
19,garrotxa,5089,2702,2387,2019
20,girones,19187,10014,9173,2019
21,maresme,40344,21123,19221,2019
22,montsia,5814,2997,2817,2019
23,noguera,3340,1792,1548,2019
24,osona,15115,7926,7189,2019
25,pallars jussa,1041,549,492,2019
26,pallars sobira,547,282,265,2019
27,pla d'urgell,3224,1686,1538,2019
28,pla de l'estany,3011,1564,1447,2019
29,priorat,708,395,313,2019
30,ribera d'ebre,1831,911,920,2019
31,ripolles,1794,930,864,2019
32,segarra,2280,1244,1036,2019
33,segria,18833,9858,8975,2019
34,selva,15797,8494,7303,2019
35,solsones,1209,626,583,2019
36,tarragones,23271,11958,11313,2019
37,terra alta,863,440,423,2019
38,urgell,3248,1706,1542,2019
39,aran,853,448,405,2019
40,valles occidental,87084,44816,42268,2019
41,valles oriental,38327,20047,18280,2019
42,moianes,1258,660,598,2019
01,alt camp,3941,2013,1928,2018
02,alt emporda,12458,6455,6003,2018
03,alt penedes,9375,4738,4637,2018
04,alt urgell,1754,913,841,2018
05,alta ribagorca,300,150,150,2018
06,anoia,10468,5413,5055,2018
07,bages,14845,7656,7189,2018
08,baix camp,16823,8462,8361,2018
09,baix ebre,6698,3485,3213,2018
10,baix emporda,11543,5946,5597,2018
11,baix llobregat,71266,36716,34550,2018
12,baix penedes,8773,4522,4251,2018
13,barcelones,184674,93975,90699,2018
14,bergueda,3005,1562,1443,2018
15,cerdanya,1582,861,721,2018
16,conca de barbera,1651,888,763,2018
17,garraf,12629,6483,6146,2018
18,garrigues,1445,765,680,2018
19,garrotxa,4899,2557,2342,2018
20,girones,18481,9535,8946,2018
21,maresme,39035,20340,18695,2018
22,montsia,5583,2822,2761,2018
23,noguera,3304,1785,1519,2018
24,osona,14611,7569,7042,2018
25,pallars jussa,1031,560,471,2018
26,pallars sobira,542,267,275,2018
27,pla d'urgell,3152,1603,1549,2018
28,pla de l'estany,2977,1542,1435,2018
29,priorat,707,377,330,2018
30,ribera d'ebre,1855,936,919,2018
31,ripolles,1791,932,859,2018
32,segarra,2225,1174,1051,2018
33,segria,18346,9491,8855,2018
34,selva,15248,8097,7151,2018
35,solsones,1176,621,555,2018
36,tarragones,22463,11493,10970,2018
37,terra alta,841,438,403,2018
38,urgell,3208,1656,1552,2018
39,aran,837,436,401,2018
40,valles occidental,84309,43389,40920,2018
41,valles oriental,36890,19117,17773,2018
42,moianes,1231,647,584,2018
